unix_time,datetime,cpu_usage_percent,temperature_c,cpu_freq_mhz
1520605889.6248968,2018-03-09 14:31:29,60.45,47.95,1500.0
1520605890.6264498,2018-03-09 14:31:30,44.78,47.4,2400.0
1520605891.6289053,2018-03-09 14:31:31,49.75,47.95,2400.0
1520605892.6315324,2018-03-09 14:31:32,45.98,47.95,2400.0
1520605893.6328893,2018-03-09 14:31:33,41.15,46.3,2400.0
1520605894.6343648,2018-03-09 14:31:34,44.89,45.75,1500.0
1520605895.6360323,2018-03-09 14:31:35,59.75,46.85,1500.0
1520605896.637081,2018-03-09 14:31:36,54.8,48.5,2400.0
1520605897.6388555,2018-03-09 14:31:37,49.25,48.5,2400.0
1520605898.6410842,2018-03-09 14:31:38,58.59,49.6,2400.0
1520605899.6449497,2018-03-09 14:31:39,46.27,47.95,2400.0
1520605900.6465724,2018-03-09 14:31:40,42.29,47.4,2400.0
1520605901.6481369,2018-03-09 14:31:41,44.11,46.3,1500.0
1520605902.6498497,2018-03-09 14:31:42,53.23,46.85,1500.0
1520605903.651271,2018-03-09 14:31:43,54.89,46.85,1700.0
1520605904.6529388,2018-03-09 14:31:44,49.63,47.95,2400.0
1520605905.6569295,2018-03-09 14:31:45,48.64,47.95,2400.0
1520605906.6585174,2018-03-09 14:31:46,53.5,48.5,2400.0
1520605907.660242,2018-03-09 14:31:47,51.13,47.95,2400.0
1520605908.6609013,2018-03-09 14:31:48,43.28,48.5,1900.0
1520605909.6623852,2018-03-09 14:31:49,51.13,47.4,1500.0
1520605910.6638153,2018-03-09 14:31:50,59.35,47.4,2200.0
1520605911.664955,2018-03-09 14:31:51,49.5,47.95,2400.0
1520605912.6667767,2018-03-09 14:31:52,47.89,47.95,2400.0
1520605913.668901,2018-03-09 14:31:53,47.13,48.5,2400.0
1520605914.670289,2018-03-09 14:31:54,43.0,49.05,2400.0
1520605915.6717975,2018-03-09 14:31:55,42.68,47.4,2400.0
1520605916.6746233,2018-03-09 14:31:56,55.36,47.4,1500.0
1520605917.676045,2018-03-09 14:31:57,55.14,46.85,1500.0
1520605918.676911,2018-03-09 14:31:58,53.63,48.5,2400.0
1520605919.6784313,2018-03-09 14:31:59,46.63,48.5,2400.0
1520605920.6810718,2018-03-09 14:32:00,48.25,47.4,2400.0
1520605921.6848383,2018-03-09 14:32:01,44.0,47.95,2400.0
1520605922.6888998,2018-03-09 14:32:02,41.1,46.85,2400.0
1520605923.6903658,2018-03-09 14:32:03,52.87,45.75,2400.0
1520605924.6917098,2018-03-09 14:32:04,58.54,47.4,2400.0
1520605925.693078,2018-03-09 14:32:05,58.85,47.4,2400.0
1520605926.6945674,2018-03-09 14:32:06,46.13,47.4,2400.0
